,Unnamed: 0,pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,st_lum,st_dens,st_age,st_umbj,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink
3027,3027,Kepler-1173,b,Kepler-1173 b,1,0.7698536,,,,,5252.0,0.86,0.82,0,,0.89,0.042817,,,,4.79,,1,0,402.0,13.829,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1173_b/
3028,3028,Kepler-1101,b,Kepler-1101 b,1,81.3151059,,,,,5614.0,0.94,0.91,0,,2.47,0.24008000000000002,,,,4.27,,1,0,897.0,15.110999999999999,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1101_b/
3029,3029,Kepler-1126,b,Kepler-1126 b,1,108.593329,,,,,5798.0,0.92,0.93,0,,1.73,0.33283,,,,5.5,,1,0,668.0,14.033,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1126_b/
3030,3030,Kepler-836,b,Kepler-836 b,1,11.36112327,,,,,5895.0,1.03,1.04,0,,2.73,0.17522100000000002,,,,4.27,,1,0,1003.0,14.63,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-836_b/
3031,3031,Kepler-1221,b,Kepler-1221 b,1,12.00096042,,,,,5194.0,0.87,0.82,0,,1.88,0.14304,,,,4.57,,1,0,909.0,15.562999999999999,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1221_b/
3032,3032,Kepler-1536,b,Kepler-1536 b,1,364.758031,,,,,4434.0,0.71,0.67,0,,3.14,0.54192,,,,2.95,,1,0,401.0,15.187999999999999,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1536_b/
3033,3033,Kepler-1555,b,Kepler-1555 b,1,8.10501635,,,,,5866.0,1.04,1.06,0,,1.61,0.18512,,,,4.37,,1,0,1382.0,15.353,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1555_b/
3034,3034,Kepler-1148,b,Kepler-1148 b,1,1.10446351,,,,,5054.0,0.81,0.77,0,,1.69,0.043946,,,,4.57,,1,0,682.0,15.277000000000001,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1148_b/
3035,3035,Kepler-835,b,Kepler-835 b,1,11.41909375,,,,,5954.0,1.08,1.11,0,,2.79,0.18258,,,,3.63,,1,0,2011.0,15.965,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-835_b/
3036,3036,Kepler-915,b,Kepler-915 b,1,4.59489604,,,,,6173.0,1.21,1.38,0,,1.5,0.11888,,,,3.39,,1,0,806.0,13.298,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-915_b/
